package,wheel,has_sbom,sbom_count,sbom_files,sbom_valid,sbom_hash_mismatch,sbom_missing_from_wheel,sbom_missing_from_record,status,error
loguru,loguru-0.7.3-0-py3-none-any.whl,Yes,1,loguru-0.7.3.dist-info/loguru-0.7.3-0.spdx.json,1,0,,,OK,
mako,mako-1.3.10-0-py3-none-any.whl,Yes,1,mako-1.3.10.dist-info/mako-1.3.10-0.spdx.json,1,0,,,OK,
markupsafe,markupsafe-3.0.3-0-cp312-cp312-linux_x86_64.whl,Yes,1,markupsafe-3.0.3.dist-info/markupsafe-3.0.3-0.spdx.json,1,0,,,OK,
markupsafe,markupsafe-3.0.3-0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,Yes,1,markupsafe-3.0.3.dist-info/markupsafe-3.0.3-0.spdx.json,1,0,,,OK,
mccabe,mccabe-0.7.0-0-py2.py3-none-any.whl,Yes,1,mccabe-0.7.0.dist-info/mccabe-0.7.0-0.spdx.json,1,0,,,OK,
nest-asyncio,nest_asyncio-1.6.0-0-py3-none-any.whl,Yes,1,nest_asyncio-1.6.0.dist-info/nest_asyncio-1.6.0-0.spdx.json,1,0,,,OK,
ordered-set,ordered_set-4.1.0-0-py3-none-any.whl,Yes,1,ordered_set-4.1.0.dist-info/ordered_set-4.1.0-0.spdx.json,1,0,,,OK,
packaging,packaging-26.0-0-py3-none-any.whl,Yes,1,packaging-26.0.dist-info/packaging-26.0-0.spdx.json,1,0,,,OK,
parso,parso-0.8.6-0-py2.py3-none-any.whl,Yes,1,parso-0.8.6.dist-info/parso-0.8.6-0.spdx.json,1,0,,,OK,
passlib,passlib-1.7.4-0-py2.py3-none-any.whl,Yes,1,passlib-1.7.4.dist-info/passlib-1.7.4-0.spdx.json,1,0,,,OK,
pathspec,pathspec-1.0.4-0-py3-none-any.whl,Yes,1,pathspec-1.0.4.dist-info/pathspec-1.0.4-0.spdx.json,1,0,,,OK,
pdm-pep517,pdm_pep517-1.1.4-0-py3-none-any.whl,Yes,1,pdm_pep517-1.1.4.dist-info/pdm_pep517-1.1.4-0.spdx.json,1,0,,,OK,
peewee,peewee-3.19.0-0-py3-none-any.whl,Yes,1,peewee-3.19.0.dist-info/peewee-3.19.0-0.spdx.json,1,0,,,OK,
pexpect,pexpect-4.9.0-0-py2.py3-none-any.whl,Yes,1,pexpect-4.9.0.dist-info/pexpect-4.9.0-0.spdx.json,1,0,,,OK,
phonenumbers,phonenumbers-9.0.24-0-py2.py3-none-any.whl,Yes,1,phonenumbers-9.0.24.dist-info/phonenumbers-9.0.24-0.spdx.json,1,0,,,OK,
pluggy,pluggy-1.6.0-0-py3-none-any.whl,Yes,1,pluggy-1.6.0.dist-info/pluggy-1.6.0-0.spdx.json,1,0,,,OK,
poetry-core,poetry_core-1.9.1-0-py3-none-any.whl,Yes,1,poetry_core-1.9.1.dist-info/poetry_core-1.9.1-0.spdx.json,1,0,,,OK,
poetry-core,poetry_core-2.3.1-0-py3-none-any.whl,Yes,1,poetry_core-2.3.1.dist-info/poetry_core-2.3.1-0.spdx.json,1,0,,,OK,
portalocker,portalocker-3.2.0-0-py3-none-any.whl,Yes,1,portalocker-3.2.0.dist-info/portalocker-3.2.0-0.spdx.json,1,0,,,OK,
prometheus-client,prometheus_client-0.24.1-0-py3-none-any.whl,Yes,1,prometheus_client-0.24.1.dist-info/prometheus_client-0.24.1-0.spdx.json,1,0,,,OK,
prompt-toolkit,prompt_toolkit-3.0.52-0-py3-none-any.whl,Yes,1,prompt_toolkit-3.0.52.dist-info/prompt_toolkit-3.0.52-0.spdx.json,1,0,,,OK,
ptyprocess,ptyprocess-0.7.0-0-py2.py3-none-any.whl,Yes,1,ptyprocess-0.7.0.dist-info/ptyprocess-0.7.0-0.spdx.json,1,0,,,OK,
pure-eval,pure_eval-0.2.3-0-py3-none-any.whl,Yes,1,pure_eval-0.2.3.dist-info/pure_eval-0.2.3-0.spdx.json,1,0,,,OK,
pyasn1,pyasn1-0.6.2-0-py3-none-any.whl,Yes,1,pyasn1-0.6.2.dist-info/pyasn1-0.6.2-0.spdx.json,1,0,,,OK,
pycodestyle,pycodestyle-2.14.0-0-py2.py3-none-any.whl,Yes,1,pycodestyle-2.14.0.dist-info/pycodestyle-2.14.0-0.spdx.json,1,0,,,OK,
pyflakes,pyflakes-3.4.0-0-py2.py3-none-any.whl,Yes,1,pyflakes-3.4.0.dist-info/pyflakes-3.4.0-0.spdx.json,1,0,,,OK,
pymysql,pymysql-1.1.2-0-py3-none-any.whl,Yes,1,pymysql-1.1.2.dist-info/pymysql-1.1.2-0.spdx.json,1,0,,,OK,
pyotp,pyotp-2.9.0-0-py3-none-any.whl,Yes,1,pyotp-2.9.0.dist-info/pyotp-2.9.0-0.spdx.json,1,0,,,OK,
pyproject-hooks,pyproject_hooks-1.2.0-0-py3-none-any.whl,Yes,1,pyproject_hooks-1.2.0.dist-info/pyproject_hooks-1.2.0-0.spdx.json,1,0,,,OK,
python-dateutil,python_dateutil-2.9.0.post0-0-py2.py3-none-any.whl,Yes,1,python_dateutil-2.9.0.post0.dist-info/python_dateutil-2.9.0.post0-0.spdx.json,1,0,,,OK,
python-decouple,python_decouple-3.8-0-py3-none-any.whl,Yes,1,python_decouple-3.8.dist-info/python_decouple-3.8-0.spdx.json,1,0,,,OK,
python-jose,python_jose-3.5.0-0-py2.py3-none-any.whl,Yes,1,python_jose-3.5.0.dist-info/python_jose-3.5.0-0.spdx.json,1,0,,,OK,
python-json-logger,python_json_logger-4.0.0-0-py3-none-any.whl,Yes,1,python_json_logger-4.0.0.dist-info/python_json_logger-4.0.0-0.spdx.json,1,0,,,OK,
python-multipart,python_multipart-0.0.22-0-py3-none-any.whl,Yes,1,python_multipart-0.0.22.dist-info/python_multipart-0.0.22-0.spdx.json,1,0,,,OK,
pyyaml,pyyaml-6.0.3-0-cp312-cp312-linux_x86_64.whl,Yes,1,pyyaml-6.0.3.dist-info/pyyaml-6.0.3-0.spdx.json,1,0,,,OK,
pyyaml,pyyaml-6.0.3-0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,Yes,1,pyyaml-6.0.3.dist-info/pyyaml-6.0.3-0.spdx.json,1,0,,,OK,
rsa,rsa-4.9.1-0-py3-none-any.whl,Yes,1,rsa-4.9.1.dist-info/rsa-4.9.1-0.spdx.json,1,0,,,OK,
semantic-version,semantic_version-2.10.0-0-py2.py3-none-any.whl,Yes,1,semantic_version-2.10.0.dist-info/semantic_version-2.10.0-0.spdx.json,1,0,,,OK,
semver,semver-3.0.4-0-py3-none-any.whl,Yes,1,semver-3.0.4.dist-info/semver-3.0.4-0.spdx.json,1,0,,,OK,
setuptools,setuptools-69.5.1-0-py3-none-any.whl,Yes,1,setuptools-69.5.1.dist-info/setuptools-69.5.1-0.spdx.json,1,0,,,OK,
setuptools,setuptools-80.10.2-0-py3-none-any.whl,Yes,1,setuptools-80.10.2.dist-info/setuptools-80.10.2-0.spdx.json,0,0,,setuptools-80.10.2.dist-info/setuptools-80.10.2-0.spdx.json,OK,
setuptools,setuptools-82.0.0-0-py3-none-any.whl,Yes,1,setuptools-82.0.0.dist-info/setuptools-82.0.0-0.spdx.json,0,0,,setuptools-82.0.0.dist-info/setuptools-82.0.0-0.spdx.json,OK,
setuptools-git-versioning,setuptools_git_versioning-3.0.1-0-py3-none-any.whl,Yes,1,setuptools_git_versioning-3.0.1.dist-info/setuptools_git_versioning-3.0.1-0.spdx.json,1,0,,,OK,
setuptools-scm,setuptools_scm-7.1.0-0-py3-none-any.whl,Yes,1,setuptools_scm-7.1.0.dist-info/setuptools_scm-7.1.0-0.spdx.json,1,0,,,OK,
setuptools-scm,setuptools_scm-9.2.2-0-py3-none-any.whl,Yes,1,setuptools_scm-9.2.2.dist-info/setuptools_scm-9.2.2-0.spdx.json,1,0,,,OK,
simplejson,simplejson-3.20.2-0-cp312-cp312-linux_x86_64.whl,Yes,1,simplejson-3.20.2.dist-info/simplejson-3.20.2-0.spdx.json,1,0,,,OK,
simplejson,simplejson-3.20.2-0-cp312-cp312-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl,Yes,1,simplejson-3.20.2.dist-info/simplejson-3.20.2-0.spdx.json,1,0,,,OK,
six,six-1.17.0-0-py2.py3-none-any.whl,Yes,1,six-1.17.0.dist-info/six-1.17.0-0.spdx.json,1,0,,,OK,
smmap,smmap-5.0.2-0-py3-none-any.whl,Yes,1,smmap-5.0.2.dist-info/smmap-5.0.2-0.spdx.json,1,0,,,OK,
sortedcontainers,sortedcontainers-2.4.0-0-py3-none-any.whl,Yes,1,sortedcontainers-2.4.0.dist-info/sortedcontainers-2.4.0-0.spdx.json,1,0,,,OK,
sqlparse,sqlparse-0.5.5-0-py3-none-any.whl,Yes,1,sqlparse-0.5.5.dist-info/sqlparse-0.5.5-0.spdx.json,1,0,,,OK,
sse-starlette,sse_starlette-3.2.0-0-py3-none-any.whl,Yes,1,sse_starlette-3.2.0.dist-info/sse_starlette-3.2.0-0.spdx.json,1,0,,,OK,
stack-data,stack_data-0.6.3-0-py3-none-any.whl,Yes,1,stack_data-0.6.3.dist-info/stack_data-0.6.3-0.spdx.json,1,0,,,OK,
starlette,starlette-0.52.1-0-py3-none-any.whl,Yes,1,starlette-0.52.1.dist-info/starlette-0.52.1-0.spdx.json,1,0,,,OK,
structlog,structlog-25.5.0-0-py3-none-any.whl,Yes,1,structlog-25.5.0.dist-info/structlog-25.5.0-0.spdx.json,1,0,,,OK,
toml,toml-0.10.2-0-py2.py3-none-any.whl,Yes,1,toml-0.10.2.dist-info/toml-0.10.2-0.spdx.json,1,0,,,OK,
toolz,toolz-1.1.0-0-py3-none-any.whl,Yes,1,toolz-1.1.0.dist-info/toolz-1.1.0-0.spdx.json,1,0,,,OK,
traitlets,traitlets-5.14.3-0-py3-none-any.whl,Yes,1,traitlets-5.14.3.dist-info/traitlets-5.14.3-0.spdx.json,1,0,,,OK,
trove-classifiers,trove_classifiers-2026.1.14.14-0-py3-none-any.whl,Yes,1,trove_classifiers-2026.1.14.14.dist-info/trove_classifiers-2026.1.14.14-0.spdx.json,1,0,,,OK,
types-python-dateutil,types_python_dateutil-2.9.0.20260124-0-py3-none-any.whl,Yes,1,types_python_dateutil-2.9.0.20260124.dist-info/types_python_dateutil-2.9.0.20260124-0.spdx.json,1,0,,,OK,
types-pytz,types_pytz-2025.2.0.20251108-0-py3-none-any.whl,Yes,1,types_pytz-2025.2.0.20251108.dist-info/types_pytz-2025.2.0.20251108-0.spdx.json,1,0,,,OK,
types-pyyaml,types_pyyaml-6.0.12.20250915-0-py3-none-any.whl,Yes,1,types_pyyaml-6.0.12.20250915.dist-info/types_pyyaml-6.0.12.20250915-0.spdx.json,1,0,,,OK,
types-requests,types_requests-2.32.4.20260107-0-py3-none-any.whl,Yes,1,types_requests-2.32.4.20260107.dist-info/types_requests-2.32.4.20260107-0.spdx.json,1,0,,,OK,
types-setuptools,types_setuptools-81.0.0.20260209-0-py3-none-any.whl,Yes,1,types_setuptools-81.0.0.20260209.dist-info/types_setuptools-81.0.0.20260209-0.spdx.json,1,0,,,OK,
types-setuptools,types_setuptools-80.10.0.20260124-0-py3-none-any.whl,Yes,1,types_setuptools-80.10.0.20260124.dist-info/types_setuptools-80.10.0.20260124-0.spdx.json,1,0,,,OK,
types-toml,types_toml-0.10.8.20240310-0-py3-none-any.whl,Yes,1,types_toml-0.10.8.20240310.dist-info/types_toml-0.10.8.20240310-0.spdx.json,1,0,,,OK,
types-urllib3,types_urllib3-1.26.25.14-0-py3-none-any.whl,Yes,1,types_urllib3-1.26.25.14.dist-info/types_urllib3-1.26.25.14-0.spdx.json,1,0,,,OK,
typing-extensions,typing_extensions-4.15.0-0-py3-none-any.whl,Yes,1,typing_extensions-4.15.0.dist-info/typing_extensions-4.15.0-0.spdx.json,1,0,,,OK,
uritemplate,uritemplate-4.2.0-0-py3-none-any.whl,Yes,1,uritemplate-4.2.0.dist-info/uritemplate-4.2.0-0.spdx.json,1,0,,,OK,
urllib3,urllib3-2.6.3-0-py3-none-any.whl,Yes,1,urllib3-2.6.3.dist-info/urllib3-2.6.3-0.spdx.json,1,0,,,OK,
validators,validators-0.35.0-0-py3-none-any.whl,Yes,1,validators-0.35.0.dist-info/validators-0.35.0-0.spdx.json,1,0,,,OK,
vine,vine-5.1.0-0-py3-none-any.whl,Yes,1,vine-5.1.0.dist-info/vine-5.1.0-0.spdx.json,1,0,,,OK,
wcwidth,wcwidth-0.6.0-0-py3-none-any.whl,Yes,1,wcwidth-0.6.0.dist-info/wcwidth-0.6.0-0.spdx.json,1,0,,,OK,
wheel,wheel-0.46.3-0-py3-none-any.whl,Yes,1,wheel-0.46.3.dist-info/wheel-0.46.3-0.spdx.json,1,0,,,OK,
xmltodict,xmltodict-1.0.3-0-py3-none-any.whl,Yes,1,xmltodict-1.0.3.dist-info/xmltodict-1.0.3-0.spdx.json,1,0,,,OK,
yamllint,yamllint-1.38.0-0-py3-none-any.whl,Yes,1,yamllint-1.38.0.dist-info/yamllint-1.38.0-0.spdx.json,1,0,,,OK,
